,index,time,open,high,low,close,volume
4499,261059,2017-07-27 15:00:00,2549.05,2549.05,2540.0,2543.0,47600.554038
4500,261119,2017-07-27 16:00:00,2541.06,2541.06,2535.02,2535.02,13224.936375
4501,261178,2017-07-27 17:00:00,2561.99,2561.99,2558.02,2561.15,1549.3386275
4502,261234,2017-07-27 18:00:00,2580.11,2580.12,2569.37,2569.37,21633.798236
4503,261291,2017-07-27 19:00:00,2560.4,2566.05,2560.4,2566.02,1089.7112584
4504,261347,2017-07-27 20:00:00,2565.11,2568.52,2561.03,2561.39,44525.250996
4505,261407,2017-07-27 21:00:00,2583.22,2587.88,2579.25,2585.25,19866.860376
4506,261466,2017-07-27 22:00:00,2650.0,2650.38,2643.58,2650.38,18254.786211
4507,261526,2017-07-27 23:00:00,2680.0,2695.0,2678.57,2681.61,104274.34295
4508,261586,2017-07-28 00:00:00,2666.33,2668.11,2660.83,2668.11,680.65554363
4509,261646,2017-07-28 01:00:00,2712.84,2712.84,2706.36,2706.38,7920.7209126
4510,261702,2017-07-28 02:00:00,2704.89,2704.96,2700.01,2704.96,1794.7792519
4511,261757,2017-07-28 03:00:00,2676.26,2679.97,2676.26,2676.48,701.35759702
4512,261813,2017-07-28 04:00:00,2682.46,2682.46,2671.91,2675.0,23694.589048
4513,261869,2017-07-28 05:00:00,2659.96,2659.96,2659.95,2659.95,5909.8159397
4514,261924,2017-07-28 06:00:00,2684.94,2688.5,2684.93,2688.5,29175.488097
4515,261984,2017-07-28 07:00:00,2683.0,2683.05,2678.41,2682.99,13302.833645
4516,262041,2017-07-28 08:00:00,2736.01,2743.81,2736.0,2741.57,34948.777759
4517,262101,2017-07-28 09:00:00,2759.13,2767.0,2759.13,2761.51,57365.307134
4518,262159,2017-07-28 10:00:00,2764.44,2764.85,2763.25,2764.85,34773.881034
4519,262219,2017-07-28 11:00:00,2750.0,2755.0,2748.41,2752.99,26467.313551
4520,262279,2017-07-28 12:00:00,2815.98,2816.0,2808.23,2815.94,102898.37773
4521,262339,2017-07-28 13:00:00,2786.38,2786.79,2784.0,2786.79,21613.951342
4522,262399,2017-07-28 14:00:00,2763.61,2763.61,2758.0,2758.0,12245.922794
4523,262459,2017-07-28 15:00:00,2767.33,2771.2,2766.7,2771.19,2932.8368748
4524,262519,2017-07-28 16:00:00,2742.89,2743.78,2740.02,2743.78,7860.9098824
4525,262578,2017-07-28 17:00:00,2759.0,2759.0,2757.99,2757.99,33673.761022
4526,262637,2017-07-28 18:00:00,2765.96,2765.99,2764.11,2764.11,2226.5530419
4527,262696,2017-07-28 19:00:00,2765.03,2769.86,2765.0,2767.99,32566.562896
4528,262755,2017-07-28 20:00:00,2751.73,2751.88,2746.01,2747.0,2254.5406464
4529,262814,2017-07-28 21:00:00,2754.94,2754.95,2750.19,2754.94,581.06376341
4530,262873,2017-07-28 22:00:00,2778.74,2778.74,2775.03,2777.5,15482.906326
4531,262932,2017-07-28 23:00:00,2784.89,2784.89,2776.25,2778.8,14084.454138
4532,262985,2017-07-29 00:00:00,2777.01,2785.19,2777.01,2785.19,2857.9661159
4533,263035,2017-07-29 01:00:00,2773.46,2773.46,2770.31,2770.31,77.060171483
4534,263093,2017-07-29 02:00:00,2744.0,2745.09,2744.0,2745.06,10401.065235
4535,263149,2017-07-29 03:00:00,2729.99,2729.99,2727.63,2727.63,9334.3636404
4536,263200,2017-07-29 04:00:00,2701.8,2705.0,2701.72,2704.97,43598.617078
4537,263259,2017-07-29 05:00:00,2711.4,2711.57,2708.78,2710.53,17452.771643
4538,263314,2017-07-29 06:00:00,2734.69,2736.91,2734.69,2736.91,519.24129055
4539,263369,2017-07-29 07:00:00,2750.83,2758.05,2750.83,2758.05,8359.114146
4540,263421,2017-07-29 08:00:00,2741.51,2745.69,2741.5,2741.51,10774.629631
4541,263474,2017-07-29 09:00:00,2749.94,2749.94,2749.46,2749.46,46.845761554
4542,263522,2017-07-29 10:00:00,2734.44,2734.89,2734.44,2734.89,96.773127839
4543,263582,2017-07-29 11:00:00,2703.22,2708.9,2703.22,2708.89,8793.5662274
4544,263641,2017-07-29 12:00:00,2672.54,2672.79,2668.19,2672.79,78452.759283
4545,263699,2017-07-29 13:00:00,2692.92,2692.92,2682.94,2691.7,23886.603773
4546,263757,2017-07-29 14:00:00,2671.99,2674.0,2670.0,2672.02,146166.58033
4547,263814,2017-07-29 15:00:00,2682.3,2692.4,2682.3,2687.73,946179.96861
4548,263871,2017-07-29 16:00:00,2707.02,2712.46,2707.0,2707.0,17151.887569
4549,263921,2017-07-29 17:00:00,2690.04,2690.04,2690.04,2690.04,46.793649306
4550,263980,2017-07-29 18:00:00,2705.76,2717.65,2705.76,2717.65,16320.184249
4551,264039,2017-07-29 19:00:00,2739.1,2740.2,2739.1,2739.2,34381.305983
4552,264095,2017-07-29 20:00:00,2736.58,2736.74,2736.58,2736.58,7956.8230489
4553,264146,2017-07-29 21:00:00,2720.74,2720.74,2719.77,2719.77,377.73215044
4554,264197,2017-07-29 22:00:00,2700.4,2708.35,2700.4,2708.35,248.64427528
4555,264251,2017-07-29 23:00:00,2682.45,2688.0,2679.71,2687.98,105996.96071
4556,264308,2017-07-30 00:00:00,2681.6,2704.01,2665.22,2704.0,568838.37214
4557,264365,2017-07-30 01:00:00,2657.91,2658.14,2657.91,2658.14,6146.9313233
4558,264418,2017-07-30 02:00:00,2673.05,2673.05,2666.0,2666.01,267040.9059
4559,264476,2017-07-30 03:00:00,2669.56,2669.56,2637.09,2664.95,303.35148276
4560,264526,2017-07-30 04:00:00,2666.17,2674.27,2660.09,2660.22,72760.02756
4561,264581,2017-07-30 05:00:00,2662.74,2679.79,2662.74,2679.79,20091.916324
4562,264633,2017-07-30 06:00:00,2625.0,2632.0,2615.01,2632.0,23651.112321
4563,264692,2017-07-30 07:00:00,2611.55,2612.0,2597.96,2612.0,71.134605711
4564,264749,2017-07-30 08:00:00,2615.19,2618.77,2615.19,2618.68,1759.6301546
4565,264808,2017-07-30 09:00:00,2616.61,2616.61,2608.82,2608.82,295.19085873
4566,264862,2017-07-30 10:00:00,2637.07,2637.08,2628.65,2628.65,2702.3930465
4567,264917,2017-07-30 11:00:00,2608.39,2623.55,2608.39,2623.55,6280.7090126
4568,264972,2017-07-30 12:00:00,2648.38,2653.4,2644.42,2653.4,20267.525712
4569,265024,2017-07-30 13:00:00,2656.0,2656.0,2656.0,2656.0,46.66639808
4570,265081,2017-07-30 14:00:00,2653.87,2659.98,2653.87,2659.98,2008.2627498
4571,265137,2017-07-30 15:00:00,2703.01,2708.23,2698.26,2700.05,57289.424328
4572,265191,2017-07-30 16:00:00,2720.24,2728.0,2718.0,2718.0,146653.41616
4573,265247,2017-07-30 17:00:00,2703.82,2703.82,2701.11,2701.11,974.52998972
